score_name,keep_fraction,abstain_fraction,n_kept,mean_error,median_error,error_reduction_vs_full,high_error_fraction,full_mean_error
inverse_max_abundance,0.6,0.4,720,0.4658944380851537,0.45604999532267465,0.07582872323247714,0.14166666666666666,0.5041213136538005
inverse_max_abundance,0.7,0.30000000000000004,840,0.4758165170582857,0.46925270659673135,0.05614679607645556,0.15476190476190477,0.5041213136538005
inverse_max_abundance,0.8,0.19999999999999996,960,0.48559855497750337,0.4784997572348272,0.03674266128929726,0.175,0.5041213136538005
inverse_max_abundance,0.9,0.09999999999999998,1080,0.4940033368963779,0.48949221273468607,0.020070519701079426,0.18425925925925926,0.5041213136538005
inverse_max_abundance,1.0,0.0,1200,0.5041213136538005,0.4962841490137525,0.0,0.2,0.5041213136538005
phi_local,0.5,0.5,600,0.5016673926260474,0.4981599455825045,0.004867719259809555,0.18333333333333332,0.5041213136538005
phi_local,0.6,0.4,720,0.5007372449246938,0.49661101418487963,0.006712806297713203,0.19027777777777777,0.5041213136538005
phi_local,0.7,0.30000000000000004,840,0.5027885180265258,0.4981599455825045,0.002643799401407576,0.19166666666666668,0.5041213136538005
phi_local,0.8,0.19999999999999996,960,0.5016445330941018,0.49570077149488134,0.004913064559296854,0.190625,0.5041213136538005
phi_local,0.9,0.09999999999999998,1080,0.5070777596234745,0.5,-0.005864552617793617,0.20277777777777778,0.5041213136538005
phi_local,1.0,0.0,1200,0.5041213136538005,0.4962841490137525,0.0,0.2,0.5041213136538005
phi_uncertainty,0.5,0.5,600,0.4475252840654463,0.4319316702121603,0.1122666867190244,0.12166666666666667,0.5041213136538005
phi_uncertainty,0.6,0.4,720,0.4588267398271044,0.4429672329358366,0.08984855946360881,0.1361111111111111,0.5041213136538005
phi_uncertainty,0.7,0.30000000000000004,840,0.4702758212239692,0.4618208024767342,0.06713759468831804,0.14642857142857144,0.5041213136538005
phi_uncertainty,0.8,0.19999999999999996,960,0.48148763600066785,0.47720396251922104,0.04489728372936064,0.16458333333333333,0.5041213136538005
phi_uncertainty,0.9,0.09999999999999998,1080,0.4910107119246554,0.4866598441173186,0.026006838778787844,0.17592592592592593,0.5041213136538005
phi_uncertainty,1.0,0.0,1200,0.5041213136538005,0.4962841490137525,0.0,0.2,0.5041213136538005
phi_reference,0.5,0.5,600,0.5008497030340852,0.49564109254997485,0.006489728823411922,0.19666666666666666,0.5041213136538005
phi_reference,0.6,0.4,720,0.5033046953876741,0.49869608753604105,0.0016198844286263725,0.20416666666666666,0.5041213136538005
phi_reference,0.7,0.30000000000000004,840,0.5047844149830195,0.5,-0.001315360630981699,0.20714285714285716,0.5041213136538005
phi_reference,0.8,0.19999999999999996,960,0.50591245966083,0.5,-0.003553005910516882,0.20729166666666668,0.5041213136538005
phi_reference,0.9,0.09999999999999998,1080,0.5058391692832426,0.4999819558984352,-0.0034076234884641288,0.20555555555555555,0.5041213136538005
phi_reference,1.0,0.0,1200,0.5041213136538006,0.4962841490137525,-2.220446049250313e-16,0.2,0.5041213136538005
snrna_marker_discordance,0.5,0.5,600,0.46691396351336684,0.4497859542714763,0.07380634210991799,0.14,0.5041213136538005
snrna_marker_discordance,0.6,0.4,720,0.47450516524561165,0.4619100141616048,0.05874805846540232,0.15,0.5041213136538005
snrna_marker_discordance,0.7,0.30000000000000004,840,0.4827653333205782,0.4726911894843631,0.04236278005870686,0.16547619047619047,0.5041213136538005
snrna_marker_discordance,0.8,0.19999999999999996,960,0.48921048928305616,0.4821323243470583,0.029577849551078894,0.17083333333333334,0.5041213136538005
snrna_marker_discordance,0.9,0.09999999999999998,1080,0.49659378018625405,0.4905844589752154,0.01493198812204144,0.18055555555555555,0.5041213136538005
snrna_marker_discordance,1.0,0.0,1200,0.5041213136538005,0.4962841490137525,0.0,0.2,0.5041213136538005
snrna_signature_residual,0.5,0.5,600,0.53671088734109,0.5328712403856792,-0.06464629208212758,0.25,0.5041213136538005
snrna_signature_residual,0.6,0.4,720,0.5342690844683577,0.5293908389153915,-0.059802610994663885,0.25,0.5041213136538005
snrna_signature_residual,0.7,0.30000000000000004,840,0.5299626698370505,0.517762864462318,-0.05126019369416368,0.23809523809523808,0.5041213136538005
snrna_signature_residual,0.8,0.19999999999999996,960,0.5237110812060547,0.5112599542317683,-0.03885923293000704,0.22291666666666668,0.5041213136538005
snrna_signature_residual,0.9,0.09999999999999998,1080,0.517009606047074,0.5036316235136431,-0.025565854972210866,0.21203703703703702,0.5041213136538005
snrna_signature_residual,1.0,0.0,1200,0.5041213136538006,0.4962841490137525,-2.220446049250313e-16,0.2,0.5041213136538005
