model_key,score_name,score_family,n_spots,spearman_error,spearman_pvalue,pearson_error,pearson_pvalue,auroc_top20_error,average_precision_top20_error,auroc_top10_error,average_precision_top10_error,top_minus_bottom20_error,keep80_mean_error,aurc
nnls_projection,risk_score_shuffled_local,ReliST score,1200,0.07199958219384861,0.012603606058684607,0.08766864491462564,0.0023687682876053703,0.5054166666666666,0.20086715337812766,0.49417438271604935,0.09824948462283327,0.05109117979368277,0.5007304374240437,0.4833377879502657
nnls_projection,snrna_signature_residual,component/proxy diagnostic,1200,-0.26562069498069313,7.941270902364961e-21,-0.2813760175846372,2.8315385616641434e-23,0.39338107638888886,0.1594677209325231,0.4085185185185185,0.08172925000713574,-0.13431055489262056,0.5237110812060547,0.5374366696767491
nnls_projection,phi_local_shuffled_coordinates,component/proxy diagnostic,1200,-0.29974501976182294,2.4648110991157097e-26,-0.30134366867404666,1.3023083435116193e-26,0.34921875,0.14800822271156427,0.3788117283950617,0.07714522493553837,-0.14331776304791288,0.5203915329304513,0.5501960297687422
nnls_projection,native_uncertainty_risk,uncertainty/confidence baseline,0,,,,,,,,,,,
rctd,local_uncertainty_risk_score,ReliST score,1200,0.30367152338300235,5.106734485979838e-27,0.296530805185338,8.782164033506641e-26,0.6378255208333333,0.30567205098093686,0.6216975308641975,0.1490259761742357,0.12722072214088048,0.4145976009238159,0.3923849051022728
rctd,leave_out_reference,ReliST score,1200,0.30367152338300235,5.106734485979838e-27,0.296530805185338,8.782164033506641e-26,0.6378255208333333,0.30567205098093686,0.6216975308641975,0.1490259761742357,0.12722072214088048,0.4145976009238159,0.3923849051022728
rctd,abundance_entropy_risk,uncertainty/confidence baseline,1200,0.33417980845820033,1.0715979119812896e-32,0.32888853557605036,1.154202974269407e-31,0.6244357638888889,0.28471347405886127,0.6077391975308643,0.1366450742150923,0.1516699873051532,0.41428629854333787,0.38592107590253694
rctd,cross_model_disagreement,uncertainty/confidence baseline,1200,0.18681667140046626,6.924801013553479e-11,0.19913385880538775,3.3825624377192932e-12,0.6140625,0.28856955483703906,0.6065586419753086,0.1562977043550631,0.07794880123712589,0.422224346333719,0.4021172315508166
rctd,phi_uncertainty,uncertainty/confidence baseline,1200,0.26260385919129575,2.240678692567111e-20,0.2596414262410889,6.125124091326447e-20,0.5998133680555555,0.2743596727141402,0.5911188271604939,0.13916419727376605,0.11006225921931218,0.41716677784433903,0.3961731941733495
rctd,risk_score,ReliST score,1200,0.22636780303319654,2.076615563565302e-15,0.2210579822905635,9.50483908206562e-15,0.5934461805555555,0.27126906077739593,0.5987037037037036,0.1308687066111775,0.08692718421442558,0.4193729077972389,0.4018035561544525
