model_key,score_name,metric,mean,ci95_low,ci95_high,n_bootstrap
nnls_projection,reference_risk_score,keep80_mean_error,0.4934846155781173,0.48238507273320447,0.5048047973899745,500
nnls_projection,reference_risk_score,aurc,0.45745473805077175,0.44312958649959117,0.4711564192712239,500
nnls_projection,risk_score,spearman_error,0.2726422677016775,0.22235329340303764,0.3217675194542695,500
nnls_projection,risk_score,auroc_top20_error,0.6241890150701874,0.5878382866663067,0.6612007287674918,500
nnls_projection,risk_score,keep80_mean_error,0.48779653340935564,0.477498370542284,0.4987017946905255,500
nnls_projection,risk_score,aurc,0.4621005711576144,0.44840441625648847,0.47506441125814464,500
nnls_projection,risk_score_shuffled_local,spearman_error,0.0703886982731984,0.014065317940304559,0.12423680159525403,500
nnls_projection,risk_score_shuffled_local,auroc_top20_error,0.5059971645826544,0.46783117978083344,0.5440310058140265,500
nnls_projection,risk_score_shuffled_local,keep80_mean_error,0.5013664816973946,0.49055019556971396,0.5125733918255263,500
nnls_projection,risk_score_shuffled_local,aurc,0.48407892923624923,0.4703225827893164,0.49907744487105216,500
nnls_projection,snrna_marker_discordance,spearman_error,0.269420127905113,0.2178553657580185,0.3200101129487862,500
nnls_projection,snrna_marker_discordance,auroc_top20_error,0.6289515462732023,0.5886102821892076,0.6657863064539681,500
nnls_projection,snrna_marker_discordance,keep80_mean_error,0.48931977475671756,0.4782835600900392,0.4998933024995141,500
nnls_projection,snrna_marker_discordance,aurc,0.4635228714503553,0.4500569907074337,0.47691372842480145,500
nnls_projection,snrna_signature_residual,spearman_error,-0.26470340278689797,-0.320097931804229,-0.2108238172047118,500
nnls_projection,snrna_signature_residual,auroc_top20_error,0.393565123437068,0.3538715564576164,0.43172933393298346,500
nnls_projection,snrna_signature_residual,keep80_mean_error,0.5240778786721285,0.5144898557067024,0.5342475905102205,500
nnls_projection,snrna_signature_residual,aurc,0.5376290951176624,0.5263657838516534,0.5492096779055168,500
rctd,abundance_entropy_risk,spearman_error,0.33337305666876554,0.2791375039877099,0.38207727359078286,500
rctd,abundance_entropy_risk,auroc_top20_error,0.6238340798897023,0.5798203979685312,0.6604013889198319,500
rctd,abundance_entropy_risk,keep80_mean_error,0.4136916212114883,0.4038560550812056,0.42311306636195756,500
rctd,abundance_entropy_risk,aurc,0.38585315297061473,0.3732570621684554,0.3983145430664539,500
rctd,cross_model_disagreement,spearman_error,0.1871288853655219,0.12417964007681781,0.24538861880966975,500
rctd,cross_model_disagreement,auroc_top20_error,0.6130248892444711,0.5733752254419243,0.6579963953344383,500
rctd,cross_model_disagreement,keep80_mean_error,0.4219411188619601,0.41239747117098574,0.43245429865793844,500
rctd,cross_model_disagreement,aurc,0.4018003099359975,0.39073189095802346,0.4144378773637515,500
rctd,inverse_max_abundance,spearman_error,0.2339499287816581,0.17928945688786077,0.29278213297857075,500
rctd,inverse_max_abundance,auroc_top20_error,0.5890938109378786,0.5471300811357275,0.6291971822216129,500
rctd,inverse_max_abundance,keep80_mean_error,0.41829952710288715,0.4088427168410511,0.4281800684067056,500
rctd,inverse_max_abundance,aurc,0.3995978093440903,0.3880944794912299,0.4126486743764147,500
rctd,inverse_top1_margin,spearman_error,0.10862509563274114,0.05141992731995127,0.16924483147596028,500
rctd,inverse_top1_margin,auroc_top20_error,0.5529195715804407,0.5135143149643737,0.5928217466453385,500
rctd,inverse_top1_margin,keep80_mean_error,0.42510512872835077,0.4157327392282956,0.43502548075711067,500
rctd,inverse_top1_margin,aurc,0.4120832771374333,0.4011328062511489,0.4249415852633132,500
rctd,leave_out_reference,spearman_error,0.3024298689789296,0.24770680823508476,0.35532095840995714,500
rctd,leave_out_reference,auroc_top20_error,0.6364610445648144,0.594282319850606,0.6745480512712182,500
rctd,leave_out_reference,keep80_mean_error,0.4143432666915476,0.4054333162522537,0.42345778136008133,500
rctd,leave_out_reference,aurc,0.3921601162341686,0.38137388262279026,0.4037275255077421,500
